id,x,y
230,1612477.23,4841043.58
231,1612477.586,4840525.124
232,1612481.46,4841289.46
233,1612486.28,4841127.17
234,1612490.432,4840707.947
235,1612491.39,4840297.29
236,1612498.022,4840301.072
237,1612498.887,4842060.177
238,1612499.46,4841050.57
239,1612501.99,4841175.75
240,1612502.57,4841131.38
241,1612503.933,4840329.447
242,1612510.801,4840725.704
243,1612510.98,4842099.36
244,1612511.948,4842033.57
245,1612513.13,4841439.04
246,1612514.24,4842003.43
247,1612514.604,4841369.877
248,1612514.67,4841135.04
249,1612517.41,4841359.09
250,1612518.97,4842233.08
251,1612519.782,4840511.321
252,1612522.107,4842139.995
253,1612524.22,4841816.78
254,1612526.14,4841057.55
255,1612526.675,4840294.759
256,1612527.06,4840041.93
257,1612528.3,4840009.31
258,1612528.62,4841906.5
259,1612529.13,4841139.28
260,1612530.15,4841310.04
261,1612531.29,4841966.28
262,1612531.94,4842279.54
263,1612532.16,4840080.68
264,1612533.584,4840499.096
265,1612534.35,4841723.32
266,1612537.862,4840352.931
267,1612540.04,4840294.93
268,1612543.29,4840931.19
269,1612544.1,4840244.707
270,1612545.17,4840151.88
271,1612550.31,4841521.37
272,1612551.01,4842356.17
273,1612552.82,4841202.32
274,1612553.318,4840223.753
275,1612553.924,4841063.927
276,1612554.67,4841530.29
277,1612558.2,4842222.9
278,1612558.696,4840239.398
279,1612562.29,4841796.66
280,1612562.83,4841842.33
281,1612565.52,4841149.62
282,1612566.273,4840220.636
283,1612567.014,4842185.873
284,1612567.309,4841432.568
285,1612567.76,4841889.56
286,1612569.07,4842270.19
287,1612569.36,4841904.85
288,1612570.366,4842314.388
289,1612570.82,4840594.35
290,1612572.11,4841372.57
291,1612572.56,4842004.491
292,1612572.9,4841462.39
293,1612573.09,4840837.73
294,1612573.78,4842328.36
295,1612575.08,4842000
296,1612575.129,4841751.686
297,1612576.69,4842219.93
298,1612576.79,4840924.77
299,1612577.02,4841583.32
300,1612578.45,4841488.11
301,1612579.9,4841069.61
302,1612582.434,4840349.461
303,1612582.715,4841398.617
304,1612584.29,4841727.19
305,1612585.43,4840276.25
306,1612586.86,4840649.63
307,1612587.55,4842265.6
308,1612591.534,4842438.659
309,1612591.56,4841698.34
310,1612591.78,4842085.25
311,1612592.703,4841415.681
312,1612594.3,4840737
313,1612595.87,4840768.397
314,1612596.54,4841638.55
315,1612597.637,4842307.187
316,1612598.121,4841380.073
317,1612599.23,4842477.598
318,1612600.879,4840297.019
319,1612601.77,4840731.11
320,1612602.97,4841940.09
321,1612603.62,4841230.02
322,1612603.78,4841890.08
323,1612604.683,4841353.255
324,1612605.26,4841156.57
325,1612605.3,4842338.78
